#Week,#Day,Date,seq,Code,Sub_Course_Name,Title,Description,More_Details (main points),Objective,type,general_type,Original Link (Drive/Dropbox/External),Shorten Link (if need),Display_link (github/Others),Previous Bootcamp Display Links,Phase,Skill,DS_step,Unit
1,1,26/1/2025,1,DS001,Bootcamp Setup and Introduction,Intro to Bootcamp,"
- Welcome from the Instructors
- Bootcamp Overview
- Objectives & Goals
- Prerequisites
- Evaluation Criteria
- Wi-Fi Access
- Facility Map
- Table of Contents (Topics & GitHub Repository)
- Discord Community
- Office hours","- Opening word ( cheering words + show how we selected them from a big crowd + introduce myself and my experince)
- program page -> brows with students the pages related to bootcamp setup, (ignore the pages related to content and agenda)","- Engaging students from the outset by providing an introduction to the bootcamp.
- Giving the students a clear understanding of what to expect in the bootcamp.
- Clarifying the roles, responsibilities, and expected outcomes for students.",Side_session,Session,https://www.dropbox.com/scl/fi/s9typ23wuvgnfpe3glxnq/DS001-Program_page_NOT-UPLOAD.png?rlkey=f0slf89t36xac6azesdnewpex&st=1011sc6a&dl=0,,,https://datascienceroadmap-tuwaiq-academy.streamlit.app/Bootcamp_Roadmap,Preparation Phase,-,-,Unit 1: Programming Fundamentals
1,1,26/1/2025,2,DS002,Bootcamp Setup and Introduction,Ice-breaker Exercise,To warm up the atmosphere and encourage participants to mingle and know each other,"- Jar game 
- Names tags","- Set a positive tone for the bootcamp where students feel comfortable engaging with one another.
- Encourage open communication.",Penguin Activity,Activity,https://docs.google.com/presentation/d/17OEqrFV9fi5fEuApOABEaalYhfKttsZfHN8v2yTEkFs/edit#slide=id.g2ed57f7c38b_0_0,https://www.dropbox.com/scl/fi/gj8qrv6srpbdotnpxbemv/Cards.pdf?rlkey=snk2i41f384c2oxft0038wr2k&st=xtnd6dhq&dl=0,,,Preparation Phase,Soft Skills,-,Unit 1: Programming Fundamentals
1,1,26/1/2025,3,DS003,Introduction to Data Science,Intro to Data Science ,"Provide a foundational overview of data science, including its core principles, methodologies, and applications.",- Go through the pdf ,"- Provide an overview of the course.
- Understand the full data science lifecycle.
- Communicate the relevance and significance of data science skills across various industries to motivate students and ignite their interest and engagement in the course.",Main_session,Session,"https://docs.google.com/presentation/d/1-M9eKukbVzuNSqPcPWxGgsuQ8sRcagIO/edit?usp=sharing&ouid=112945808715343234162&rtpof=true&sd=true

https://docs.google.com/presentation/d/1UDN5z5IHAb9MjpwbYrV4elNJIBVwHpgQdZXZWcD3Utk/edit?usp=sharing",,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-1/blob/main/Data%20Science%20Introduction.pdf,Preparation Phase,Data Science Methodology & Literacy,Step 1: Defining the Problem Statement,Unit 1: Programming Fundamentals
1,1,26/1/2025,4,DS001,Bootcamp Setup and Introduction,Bootcamp Roadmap,"Roadmap offers a clear and comprehensive guide through the vast landscape of data science learning,  taking students from the fundamentals of data to more advanced topics and data technologies.",show the program page again and take a look on content and agenda pages,"- Guide students through a structured learning journey.
- Introduce students to a wide range of data science topics and technologies.",Side_session,Session,https://datascienceroadmap-tuwaiq-academy.streamlit.app/Bootcamp_Roadmap,,,https://datascienceroadmap-tuwaiq-academy.streamlit.app/Bootcamp_Roadmap,Preparation Phase,-,-,Unit 1: Programming Fundamentals
1,1,26/1/2025,5,DS005,Bootcamp Setup and Introduction,Setup and Installation Guide,A guide provides an overview of essential tools for Python-based data science,"Go through the pdf and make sure all has needed tools installed, (if we faced a lot of installation problem, let them search at home and ask again tomorrow, Git is only the must becase next day lesson","- Prepare students with the essential skills and knowledge to successfully set up and install Python tools and GitHub, enabling them to create, manage, and share their projects effectively.",Side_session,Session,https://www.dropbox.com/scl/fi/g805x3q2qitkeiqw0xpeo/6-Essential-Tools-for-Data-Science-with-Python-Setup-and-Installation-Guide.paper?rlkey=b8t01iddxdagvy2nfyxkjq586&dl=0,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-1/blob/main/6-Essential_Tools_for_Data_Science_with_Python_Setup%20and%20Installation%20Guide.pdf,Preparation Phase,Software engineering,-,Unit 1: Programming Fundamentals
1,1,26/1/2025,6,DS006,Bootcamp Setup and Introduction,Student Information Form,,they should fill it ( on class if has time left or on home),,Side_session,Session,https://forms.gle/KbXmGX1RKJcGm6Bb7,,,https://forms.gle/KbXmGX1RKJcGm6Bb7,Preparation Phase,-,-,Unit 1: Programming Fundamentals
1,2,27/1/2025,1,DS007,Real-World Insights from a Data Science Expert,What data scientists say over world?,Let's spend the next 15 minutes reviewing what data scientists around the world are saying about the field and learning from their insights.,,"- Understand Diverse Perspectives
- Learn About Real-World Applications
- Inspire Critical Thinking and Innovation
- Boosting Analytical Discussions",Penguin Activity,Activity,https://www.linkedin.com/posts/svpino_theres-a-massive-gap-between-what-books-activity-7157398151757205504-JpoM/?utm_source=share&utm_medium=member_ios,,,https://shorturl.at/xzHTV,Preparation Phase,Data Science Methodology & Literacy,Step 4: Exploratory Data Analysis,Unit 1: Programming Fundamentals
1,2,27/1/2025,2,DS008,"Command Line 101, Git 101",CLI & Version Control with Git,A Beginner's Guide to CLI and Version Control and Collaboration in Data Science,"- Explain CLI pdf
- Do hands on on terminal (explain commands in the same time of hands on)
- Do first activity (one should answer from each line group)
- Explain git pdf ( start idea: how normal folder diffrentiate from git folder)
- Do hands on on terminal (explain commands in the same time of hands on)
- Do 2nd activity (one should answer from each line group)","- Understand the basics of Git for version control.
- Learn how to set up Git and manage repositories.
- Familiarize with GitHub for online code collaboration.
- Practice basic Git commands and GitHub operations.
- Explore branching, merging, and pull requests.
- Apply best practices for commits and collaboration.",Main_session,Session,"https://www.dropbox.com/scl/fi/5kp04co2zetm8d73dcmt4/2-Command-Line-Interface-CLI.paper?rlkey=14gd2ahp28e1o0uxhr298qrgh&st=wgf9vk15&dl=0

https://www.dropbox.com/scl/fi/a3o4quirb952urzz5snks/2-Git-Github.paper?rlkey=qu6jeo4p8pi8u19dyv2latjo9&st=smdabxq8&dl=0",,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-2,Preparation Phase,Software engineering,Step 8: Model Deployment,Unit 1: Programming Fundamentals
1,2,27/1/2025,3,DS009,"Command Line 101, Git 101",Hands-on Session,Students will apply the concepts and techniques they've learned in the main session to real-world problems,,"- Enable students to transfer theoretical knowledge into practical skills.
- Develop students' problem-solving abilities.
- Prepare students for real-world challenges they may encounter in their future careers.",Hands-on_Session,Practical exercise,,,,,Preparation Phase,Software engineering,Step 8: Model Deployment,Unit 1: Programming Fundamentals
1,2,27/1/2025,4,DS010,Command Line 101,Interactive activity 1 (CLI),"Involves dynamic engagement where students participate in discussions, quizzes, or collaborative problem-solving exercises.",individual on board or (one should answer from each group),"- Encourage students to actively engage with course content.
- Stimulate students' critical thinking skills.
- Develop students' communication skills by encouraging them to articulate their thoughts, ideas, and solutions.",Interactive Activity,Activity,https://www.dropbox.com/scl/fi/wqeuoatbhpaym1otbsmpk/4-5-Interactive-Practice-NOT-UPLOAD.paper?rlkey=q2e99bbpvy94eua0ygu5mukdg&st=ecvvvwlh&dl=0,https://cmdchallenge.com/#/hello_world,,https://cmdchallenge.com/#/hello_world,Preparation Phase,"Soft Skills, Software engineering",Step 8: Model Deployment,Unit 1: Programming Fundamentals
